@relation emotions

@attribute sentence string
@attribute category {hp, sd, fr, sp, ne, dg, ag}

@data
' =o) feel bad law &amp; order 000010 ',sd
' moments lives find 000000 ',ne
' afraid, confused, road map 001000 ',fr
' course, faced turn run back 000000 ',fr
' while, people push 000000 ',ne
' 000000 ',hp
' pain ta kes in, 000000 ',sd
' discover 000000 ',ne
' fears 005000 ',fr
' 000000 ',ne
' 000000 ',ne
' know anytime 60 days 000000 ',fr
' change situation 000000 ',ne
' woot ipod video (30g) 000000 ',hp
' kinda bad feeling sad/unhappy 0005100 ',sd
' wanting now, money, ne ver wanted 000000 ',ne
' oh bad girl put buy card 000010 ',sd
' black one, sexy 000000 ',hp
' case it, sheets 000000 ',ne
' full case too, lil black snug, force lil bitch 000000 ',dg
' hey 000000 ',ne
' ~apple ipod sock 000000 ',ne
' lost 3 000000 ',ne
' 000000 ',sp
' hey 000000 ',hp
' season 000000 ',ne
' snowfall day, final ly stopped falling lame dog ta ke shit bed 000000 ',fr
' lot happened months, beginnin summer 000000 ',ne
' dear friends lost people lives , strong 000000 ',sd
' mind tiny bit odd me. rarely strong 000000 ',sp
' laying big green couch position eating nd crying 000000 ',sd
' turns question pretty thought knew 000000 ',ne
' coming 000000 ',sp
' well, 000000 ',ne
' scares 003000 ',fr
' talk life change 000000 ',ne
' love forever, definately 000400 ',hp
' find again, stuck place 000000 ', ne 
' word, lost 000000 ',sd
' feel lost 000000 ',sd
' everything, sure 000000 ',sd
' admit 000000 ',ne
' stay 000000 ',ne
' words you: john 000000 ',ne
' gotta quarter-life worth 000000 ',sd
' 25 years 000000 ',ne
' idea 000000 ',hp
' snowfall 000000 ',ne
' well, 000000 ',ne
' mean hurt person 000000 ',sd
' scared 004000 ',fr
' scared future 004000 ',fr
' look ahead missionary/psychologist, married, wi th kids, life 000100 ',hp
' however, decisions 000000 ',ne
' un-happy people 000500 ',sd
' people divorces, commit 000000 ',ne
' hurt 000000 ',sd
' *sighs* bad hurting people hurt me. thin hurt hurt 000010 ',sd
' think commit person only, missing 000000 ',fr
' right person huge mistake 000000 ',fr
' think right person 000000 ',ne
' people say, "katrina, this," say, "katrina, that. 000000 ',ne
' know!!!!!!!!! 000000 ',ne
' wait god wants 000000 ',ne
' moments start trying god tha works 000000 ',ne
' post back 000000 ',ne
' today lol 000000 ',hp
' lay pretty fast hes sl eep crib find crib 000000 ',ne
' doctor says belly thats onl 000000 ',hp
' lol 000000 ',hp
' nap tell lol 000000 ',hp
' lol 000000 ',hp
' night 000100 ',ne
' oh know baby lol 000000 ',hp
' glad mom wal-mart ome back home nap 000500 ',hp
' 000000 ',ne
' lol,and 000000 ',hp
' haha 000000 ',hp
' thats face 21 not! 000000 ',ne
' lol 000000 ',hp
' anniversary, month,david birthday today,other famil members month,halloween stuff lol 000120 ',hp
' laundry mayb lay bit lol oh wa nts baby nice coming house cold weather,i sick baby problems lol,that visit grandpas,other s.o.l il lol 020000 ',hp
' is, dunno 100000 ',ne
' whore, originally buy gun (springfiled xd40 subcompact) 000000 ',ne
' pay time, buy fun 000000 ',dg
' gas down, $1.99 street 000020 ',ne
' job 000000 ',ne
' i, post shortly 000000 ',ne
' 3 months 8th, night (she brought pumpkin , pretty sweet) 000100 ',hp
' moved "together" nights, puts 000201 ',sd
' oh well, work lots 000000 ',ne
' kinda am, worth 000000 ',ne
' shooting part 8a 10p 000000 ',ne
' odd hour me. also, 25 outdoor range, whic variety loads (shotgun, magnum, etc) 000000 ',hp
' part is, pretty there, lighting 000000 ',hp
' interested, club, (just nam e) 000100 ',ne
' write 000000 ',ne
' starting interesting 000100 ',hp
' contact types deal specifically stand dow concerts variety military california 000000 ',ne
' knows playing 2007 000000 ',ne
' mean huge party music festival june 000000 ',ne
' wants 000000 ',ne
' ha 000000 ',hp
' gig! 000000 ',ne
' leaving irvine 18th 000000 ',ne
' penn state weekend 000000 ',ne
' love 000400 ',hp
' people street night excitement 000200 ',hp
' lots people sex 000000 ',ne
' tonight michigan vs. game 000100 ',ne
' put 000000 ',ne
' 000000 ',hp
' night discussion 4:30am 000100 ',ne
' drink anymore 000000 ',ne
' hair 000000 ',ne
' saying 000000 ',ne
' hair looks shit mary 000000 ',dg
' 4 boys staying attend west point 000000 ',ne
' cute 000000 ',hp
' right 000000 ',ne
' cleaned up, buttons, tak hot shower, put adorable coat, downtown 000020 ', hp
' 000000 ',fr
' died 000000 ',fr
' look me! straight television 000000 ',ne
' oh ps. 000000 ',ne
' totally 000000 ',ne
' company crack house 000000 ',ne
' "how bacon? 000000 ',ne
' nevermind, test 000000 ',ne
' ones worth retelling 000000 ',ne
' 14 cookie 000000 ',hp
' cute think control 000000 ',hp 
' arrived 000000 ',ne
' lady post office starting laugh me. pu 000000 ',hp
' bad experience ebay 000010 ',sd
' cookie packed 000000 ',ne
' broken 000000 ',ne
' told rude 000000 ',ag
' well, packing job 000000 ',ne
' told f----ing a--hole negative rating 000000 ',ag
' turn negative rating 000000 ',ag
' man. trouble 000000 ',ne
' negative rating bummed awhile 000000 ',sd
' sold ebay 000000 ',ne
' frankie electric 000000 ',ne
' work enterprise 000000 ',ne
' staying pretty close home 000200 ',hp
' cooled bit big relief 000000 ',hp
' 000000 ',ne
' love "nap story booboo afternoon. 000400 ',hp
' means couch book lunch booboo cat 000000 ',ne
' wants put system plant grass 000000 ',ne
' money 000000 ',ne
' well, put dinner 000000 ',ne
' today food cake chocolate chip 000000 ',ne
' night 000100 ',ne
' oh shit, update 000000 ',dg
' so, love 4 school, 000400 ',hp
' thursday 000000 ',ne
' hung 12 000000 ',ne
' chels cleaned room, 000000 ',ne
' home stuff kid camp 000100 ',ne
' off, hike place, worth shit dark 000010 ',dg
' awhile how, ryan fell back scraping up, hurts ha 000000 ',sd
' cutting damn tree down, go, tried sneak 000020 ',ag
' guess walked ryan right swung huge ass swung right face 000000 ',ag
' that, calling aubrey, baby, ally 000000 ',sd
' phone her, forever 000000 ',sd
' plus, eat yesterday, ck 000000 ',ne
' real lame 000000 ',dg
' ehh 000000 ',hp
' today, chels loves me, feel 000400 ',hp 
' tonight, gonna stay 000100 ',ne
' started month ago class (at part sounds cool. 000000 ',ne
' yeah, know, right laughing indians 000000 ',hp
' anyway, home notice feels kinda 000000 ',ne
' month, happened 000000 ',ne
' g.p., stuff phone, starts throwing aro words "orthopedic," "surgery," "x-rays" start thinking, "oh hit! 000100 ',dg
' course says words ("degenerative arthritis" "not age" ) total brain hear pretty 000000 ',ne
' girl 000000 ',hp
' old, cute 000000 ',hp
' pool lie pretty lake rarely tho ught 000000 ',hp
' well, know 000000 ',ne
' years 000000 ',ne
' job, wife, kids, house, car 000100 ',ne
' path society people 000000 ',ne
' felt free, alive 000000 ',hp
' best, 000000 ',hp
' line page act 000000 ',ne
' read backwards 000000 ',ne
' set fire 100000 ',ag
' me, self-fashioned 000000 ',ne
' happened today 000000 ',ne
' sucks drive anyways 000000 ',dg
' plus, means means 65 years! 000000 ',dg
' know drive problem study written 000000 ',ne
' happy birthday jamie! 000500 ',hp
' free aug. 31st 000000 ',ne
' call me. letting know suck tests 000000 ',dg
' first: heh heh heh, appropriate 000000 ',hp
' "i dunno, button find out. 100000 ',ne
' leave london days 000000 ',ne
' fucking terrorists decide caught, know, landed 001000 ',ag
' stupid terrorists think minds change world 001001 ',ag
' convert islam, blow fucking plan e, train, 000020 ',ag
' current current world population 000000 ',ne
' fuck 000000 ',ag
' far, cause international annoyance sure baby drinking 200000 ',ag
' people years 1916 000000 ',ag
' fuck 000000 ',ag
' read history fucking god damn realize capable raining destruction manner, thank ver 000000 ',ag
' 000000 ',ne
' ignore us, ignore you, heaven evil 100000 ',ag
' state 000000 ',ne
' care bad 000010 ',ag
' drop 45 000000 ',ne
' here, sure point 000000 ',dg
' oh right, forgot, area 000000 ',ne
' think yer winning, yer 000000 ',ne
' annoying 200000 ',ag
' pissing 000000 ',ag
' piss off, restraint 000000 ',ag
' 000000 ',ne
' annoy care restraint 100000 ',ag
' fuck fucki ng teeth plane bad food 000010 ',ag
' power spread annoyance 200000 ',ag
' rational, intelligent, informed individual 000000 ',ne
' annoyed 300000 ',ag
' days spend 5-6 hours aiports, whereas, 10 years ago 000000 ',ne
' hours early flight 000000 ',ne
' fault, is. standing line, waiting around, thinking 000000 ',ag
' trying rational mind bad thoughts stupid human religion trouble 000011 ',ag
' try ahead wait line 000000 ',sd
' fuck 000000 ',ag
' job today 000000 ',dg
' well, actually, be, 000000 ',ne
' annoying 200000 ',ag
' 000000 ',ne
' check 3 ago 000000 ',ne
' look address 5 months 000000 ',ne
' throw fit 5 minutes 100000 ',ag
' hang 000000 ',ne
' equally call 000000 ',ag
' happened amount today 000000 ',dg
' 000000 ',ne
' really, ive job 000000 ',ne
' happened 000000 ',ne
' pissy wrong 000000 ',ag
' phil 000000 ',ne
' sat 000000 ',ne
' talking running traffic killing himself, 000000 ',ag
' sheldon told shut 000000 ',ag
' ang ry me. bitch 000000 ',ag
' tried control 000000 ',ne
' good-looking 000100 ',hp
' eye 000000 ',ne
' words phil smiling, look straight sheldon, ay "shut up" 000000 ',ag
' comments 000000 ',ne
' hell, 000000 ',ag
' knew 000000 ',ne
' couple sheldon angry ell shut 100000 ',ag
' haha 000000 ',hp
' 000000 ',ne
' eye contact me, eye contact lot 000000 ',ne
' brief, time, smile 000000 ',hp
' try touch 000000 ',ne
' friend (who along) punch nuts phil 000000 ',ag
' asked phil, "what hell doing?" looked me. nything wrong 000000 ',ag
' wrong that? 000000 ',sp
' 000000 ',ne
' started talking mad, "you called etarded", explained prick 100000 ',ag
' started drugs, prick 000000 ',ag
' 000000 ',ne
' "whatever"ed me. 200000 ',ag
' told lose me, looked word 000000 ',ne 
' anymore. 000000 ',ne
' phil walked quickly 000000 ',ne
' followed, daniel took minutes look back me. angry 100020 ',ag 
' expression hurt 000000 ',sd
' "yeah, home. 000000 ',ne
' "no, go. 000000 ',ne
' "is hard tell? 000000 ',ne
' know thought fucking obvious 000000 ',ag
' called home mom ride busy, crying "busy" 000000 ',sd
' 10 minutes walking home aaron pulled drive home 000000 ',ne
' hung car rest talking laughing 000000 ',hp
' ive missed 000000 ',sd
' trip fantastic, real live everywhere, salem cute adorable touristy, ithaca gorgeous adorable happy trip, beautiful boring falls, home, think wonderful place ive dont leave 000504 ',hp
' well, now, 000000 ',hp
' wonderful home wonderful back 000003 ',hp
' lot car 000000 ',ne
' felt hours left ithaca finished st garden reading book 000000 ',hp
' share day, wont 000000 ',ne
' sure moment life beautiful satisfied content 000500 ',hp
' experience fabulous night sky smells 000100 ',hp
' bye : 000000 ',ne
' work suppose, people nice ones avoid 000000 ',hp
' starting put parts store, 000000 ',hp
' random fears lately, happens 005000 ',fr
' suppose amount drama, ex 000000 ',sd
' house couple days ago easily back , number 000000 ',ne
' turn 000000 ',ne
' 000000 ',ne
' woot 000000 ',hp
' yeah 000000 ',ne
' 000000 ',ne
' i, mad skills, able convert color space image, 100000 ',ag
' 10 minutes 000000 ',ne
' man 000000 ',hp
' p.s. understand exactly (it bit technical), impressive rock 000100 ',hp
' friday night computer screen 000100 ',ne
' decided watch episodes promise non computer 000000 ',ne
' anyway, watched tv morning 4pm by, decid laundry play 3; beat ass 000001 ',hp
' lol 000000 ',hp
' then, parents home 000000 ',ne
' guess today fun, considering spent brother 000000 ', hp
' that, feel right friday home 000000 ',sd
' mad told mys elf summer university sept ember 100000 ',ag
' gosh, exactly month school start boy nervous 000000 ',fr
' job well- speak 000000 ',ne
' congratulations- welcome corporate america- vice hibernate-- walk 000000 ',hp
' love 000400 ',hp
' focused 000000 ',ne
' 99 average class 300000 ',hp
' loving call center 000100 ',hp
' trainer room smiles lunch move level- (from abt trainer 1 abt trainer 2) $10,000 000100 ',hp
' think stay aflac 000000 ',ne
' sick trainer 24 020000 ',dg
' 4 years 000000 ',ne
' opportunities awesome 000002 ',hp
' stipulation: 000000 ',ne
' spend 1 calls spread- free where-ever eart desires 100000 ',hp
' move 000100 ',ne
' 000000 ',ne
' family 000000 ',ne
' staying mary house keeps telling awesome ommy 000002 ',hp
' yeah- 000000 ',ne
' everyday company 000000 ',hp
' (the aflac all-american baseball classic) 000000 ',ne
' laugh- ca 000000 ',hp
' back me- origin slipped mind, "we dreams. 000000 ',ne
' corporate world 000000 ',ne
' talked person life- 000000 ', ne
' killing 000000 ',sd
' starting ends- step break- gotta pul ling 000000 ',sd
' know 000000 ',ne
' tired broken promises- dreams 100000 ',sd
' thread relationship wearing thin- strand- think cool says hes to- coo 000100 ',sd
' part is- love 000400 ',sd
' love am- try might- 000400 ',sd
' 000000 ',ne
' together- opportunity right - - - person- close 5 years now- wearin thin 000201 ',sd
' married 23 000000 ',ne
' yes, today 000000 ',hp
' happy talking 000500 ',hp
' anyway, (and troop) stay 16 mon ths, home 5 days leave training (and post) 000000 ',ne
' rest troop thought 1 2 months 000000 ',ne
' thought 12 wayne thought 10 nd staying 16 000000 ',sp
' furious 300000 ',ag
' wayne says 000000 ',ag
' now, know be, care 000000 ',ne
' thought "will cut rnr?" 000000 ',ne
' alley pups 000000 ',ne
' told ball looked hat yes, lol 000000 ',hp
' shot 000000 ',ne
' 000000 ',ne
' wayne wanted know "hows alley, sh pups" think loves dogs me! forget tail (it tail) 000401 ',hp
' proud 000000 ',hp
' watched job 000000 ',hp
' now, help image 000000 ',ne
' sooooo excited 5 days!!!!!!! 000000 ',hp
' start class monday 000000 ',ne
' "i love s" site 000400 ',hp
' feel 000000 ',sd
' try boring ugly 002000 ',dg
' decide pay blog 000000 ',ne
' 000000 ',ag
' currently angry 100000 ',ag
' laying couch watching csi:ny 000000 ',ne
' star brady bunch 000000 ',ne
' brady bunch 000000 ',ne
' car right 000000 ',ne
' oh oh oh yelling me, "are go, already! 000000 ',ag
' holding 000000 ',ne
' people office hour 000000 ',ag
' back course return work, staff anymo 000000 ',ne
' agency 3 000000 ',ne
' 000000 ',sd
' plan agency party/reunion august 000000 ',ne
' &gt;sigh&lt 000000 ',sd
' 000000 ',ne
' barely online 000000 ',ne
' 000000 ',ne
' excited move 000100 ',hp
' basically packed clothes 000000 ',ne
' load stuff 000000 ',ne
' thats lot 000000 ',ne
' 000000 ',ne
' band 000000 ',ne
' called (i name 000000 ',ne
' pretty 000000 ',hp
' lol jk 000000 ',hp
' 000000 ',ne
' despite terror 101000 ',fr
' thats all, 000000 ',ne
' fun 000000 ',hp
' haha algebra, today , &amp; today 000000 ',hp
' joke joke 000000 ',hp
' ew, crappy sub 000000 ',dg
' u.s. history ! love class [: walking home fun 000400 ',hp
' reason i`d name online 000000 ',ne
' pain ass &amp; yeeah, sucks 000000 ',dg
' subject, thursday &amp; friday 000000 ',ne
' thursday like, fun 000200 ',hp
' tired 100000 ',ne
' noticed natalie, ryan, &amp; fun 000000 ',hp
' hahah 000000 ',hp
' friday fun [: asb &amp; yeah 000000 ',hp
' know talking asb alot that`s pretty whats happeni ng 000000 ',ne
' ew 000000 ',dg
' hahah 000000 ',hp
' janel, madilyn, desiree(sp) &amp; [note:they graders] janel house 200000 ',ne
' love house 000400 ',hp
' cool stuff wanna take, hahah 000000 ',hp
' that, jason, &amp; josh &amp; guess vetera ns &amp; 000000 ',ne
' pretty money buying 2 water 000000 ',dg
' people headed veterans park 000000 ',ne
' jk 000000 ',ne
' hung monkey &amp; acted kids swing ag ain 000100 ',ne
' fun fun fun 000000 ',hp
' sucks bring camera yeeah 000000 ',dg
' &amp; think tomorrow friend`s coming ? sure who, haha bye 000000 ',hp
' posted 8/11/2006 8:53 pm - email 000000 ',ne
' summer eye 000000 ',sp
' 4 months 000000 ',ne
' blame summer fun 000000 ',ne
' love worry sort 000500 ',hp
' 2 000000 ',ne
' interview 2 000000 ',ne
' interesting 000100 ',hp
' worry put term 000100 ',fr
' school thought 000000 ',ne
' started dream, working it, anymo 000000 ',ne
' hey individual 000000 ',hp
' 000000 ',hp
' money ;) 000000 ',hp
' opportunity chance 000000 ',ne
' degree back true desire law enf orcement, 100020 ',ne
' lazy thought b/c bother 100000 ',ne
' worry minutes life 000100 ',fr
' stress 000000 ',sd
' blame 000000 ',ne
' society big stress pool 000000 ',sd
' family, friends, co-workers etc., crappy ay is, been, be, 000000 ',dg
' plan, know run 000000 ',ne
' day, 000000 ',ne
' love family unconditionally, cherish moment them, sister, pushes edge, developed deal 000400 ',hp
' look life perspective, break heart 000100 ',sd
' control, st olen chance normal life 000000 ',sd
' alienated, 000000 ',sd
' job know amazing people poten tial, put choices life 000001 ',sp
' work 000000 ',hp
' thinking term 000000 ',ne
' happy casual, serious, relationship 000600 ',hp
' frankly happy 000500 ',hp
' 000000 ',ne
' 000000 ',ne
' hopefully right 000000 ',ne
' list time, add someth ing 000000 ',ne
' lol, lets hope run complete 000000 ',hp
' says lot, written comedian 000000 ',ne
' guess fit group article to, regards 2 3 frien ds fall "support mechanism" category, 100100 ',ne
' 3 moving fall, awful lot goin lives, addition shot 002001 ',sd
' definitely feel like, life, operating ground floor regards friendships interact ith friends 000300 ',ne
' lot bridges decisions ability friends, likewise, ability fully engage people well, 000200 ',sp
' older, lot work-related matters personal lives pretty complicated 000500 ',ne
' "big picture" scale, believe hold syste held 18 years old, scary half-a-lifetime ago 002000 ',fr
' all, satisfied bigger picture angry fuck sma ller details, keeps going, 100100 ',ag
' desire currently am, hav living 100000 ',ne
' "support mechanisms" go, people- best, act help people reach able reach 000000 ',ne
' home hang hat, happiness home place look 000100 ',hp
' think easy lose track idea happiness completely separate guarantee equal th (some time, 000100 ',hp
' goes back journey vs. idea, people success goal, capable enjoying efforts required reach goal 100600 ',hp
' 000000 ',ne
' friendship works way- people appreciate friendships goal-oriented, friendships way, moment interesting ones 000100 ',hp
' know guilty 000020 ',sd
' realize lost difficult 000000 ',sd
' healed, amnesia, nd wonder happened 000002 ',sd
' sucks, effort friendship heading sor paths, effort 000000 ',dg
' mean 000000 ',ne
' change mind, efforts met sort equal efforts process goes entire 100000 ',dg
' worth it, play hand look ew deal 000000 ',ne
' guess have, th was, case, know tried 000000 ',ne
' late, parents do, annoy e. parents 100000 ',ag
' love 000400 ',hp
' god annoying 200000 ',ag
' here, yelling tea rs 000000 ',ag
' thinking today dinner wondering hel turns 000002 ',ag
' 000000 ',ne
' now, know reach place enough, damn feels forever 000000 ',ag
' know normal college living parents , wish independent free 000000 ',ne
' fucked 000000 ',dg
' lots angry finished work, boss pays furniture idea run business 100000 ',ag
' oh yeah, part 000000 ',ne
' pissed 100000 ',ag
' trying post days, bloody issues (error pages) - boss post posted thursday ! 000000 ',ag
' way, speak " food feel healthy" - considering meals it, dinner, friday lunch frie nd 000000 ',hp
' $250 eat food, eat 000000 ',ne
' asked cook himself, doe sn 000000 ',sp
' look face think 000000 ',sp
' man office 10:30am, 3pm, 20minutes office, dry clothes, cleaner, wife family - time?i explained 1.5 hours , work, does, cook meals, hav life, house look 000000 ',sp
' - golf, sitting beach drinking coffee, bitching money, eing complete 000000 ',dg
' life choices right 000000 ',dg
' wonder look ing 000002 ',ne
' 000000 ',dg
' think though, pisses food issue - easy "i anything" option 000000 ',ag
' option, me, ncept weight problem - lazy 000010 ',dg
' easily cook food - kitchen cost house 000000 ',ne
' aarrgghh!! 000000 ',ag
' sorry post, annoyed am, struggling wit weight loss, this, concept struggl e, pay lose 300070 ',ag
' brakes, stops car, right me, middle treet, 000000 ',ag
' starts yelling 000000 ',ag
' "you hit omg." said, hair horse, 000000 ',ag
' nice, death 000000 ',ag
' "omfg 000000 ',ag
' " 000000 ',ag
' admit, fascinated eyes, black eyeliner, managed stay open 000100 ',sp
' minute 000000 ',ne
' 000000 ',dg
' write plate 000000 ',ne
' turned sort hell 000000 ',dg
' grabbed bike, tried push 000000 ',ag
' now, people stuff daddy blocking intersec tion 000000 ',ag
' struggling bike 000000 ',ne
' mad 100000 ',ag
' hit bitch hard 000000 ',ag
' hey, me. middle intersection 000000 ',ag
' fucking bike 000000 ',ag
' fucking 000000 ',ag
' job bad 000010 ',ag
' annoying 200000 ',dg
' woke wednesday morning, bright early (as do) work/uni 000000 ',ne
' walked call surprised oh! ouldn turn 000003 ',sp
' housemates, up, informed no, working house 000000 ',ne
' - spent 10 minutes turning house, safety switch back on, turning back safety 000000 ',ag
' tried sure plug/circuit 000000 ',ne
' thought do, able afford eithe fridge fix 000000 ',ne
' housemates thought buying fridge hemselves, idea sadly left issues 0000100 ',sd
' lovely (love babes! 000400 ',hp
' offered fridge (woooo!) 000000 ',hp
' so, 48 hours fridge (hate think food there! 200000 ',dg
' joyfully picking today 0001200 ',hp
' 000000 ',hp
' yay 000000 ',hp
' wrote posting, political democratic candidates fac turning base voters 000000 ',ne
' despite democrats bush administration republican vernance, real signs (at county) vote november 100000 ',ag
' argument goes anger gas care costs, protracted, expensive war conclusion sight, perception religious george w. bush social issues base voters 300000',ag
' well, 000000 ',ne
' latest issue news &amp; world report, republican feeli ng pretty turning folks fall, vote return party elected officials power 000000 ',hp
' true 000020 ',ne
' words, democratic candidates political season: can, turn base, assume guy usual folks vot 000000 ',ne
' feel fly 000000 ',ne
' smile 000000 ',hp
' anything, relationship, compa red 000100 ',ne
' other, shows, pays 000000 ',ne
' friends 000000 ',hp
' already, know hope 000000 ',ne
' ive learned relationship wa tching 000100 ',ne
' duno, kinda losing track 100000 ',ne
' wont head ass it, sit think/dread everyday 004000 ',fr
' cherish love know care ev eryday 000400 ',hp
' 000000 ',ne
' abusive, words feelings directed / feel bad 102010 ',sd
' chris problem words too,and anger 300000 ',ag
' car everythin alright 000000 ',ne
' pissed ignorant 100000 ',ag
' stupid ass hole 000001 ',ag
' gudam, sorry ass 000060 ',ag
' oh yeh, sub-conciously waiting jamie >:) 000000 ',ne
' church friend house lunch 000000 ',ne
' guy dance back school house 000000 ', ne
' ages 000000 ',sp
' goes figure 000000 ',ne
' hm, bit weird 000000 ',sp
' lunch genelli ice-cream 000000 ',hp
' (however genelli part) ah, talked anri ex mom menti oned anri angry dad ex visited, dad ke pt busy 100000 ',ag
' oh ya talking 000000 ',ne
' dad asked table angry dad 100000 ',ag
' "whahahaha" think 000000 ',hp
' funny 000000 ',hp
' table 000000 ',hp
' w0rd dead tired 100000 ',ne
' anri wanted beach, visited weekend back ocean 000000 ',ne
' car, music 000000 ',ne
' reason, scared driving me. >.> ask 004000 ',fr
' sat beach felt 000000 ',ne
' 000000 ',ne
' fun 000000 ',hp
' try 000000 ',ne
' took photo girl ocean 000000 ',ne
' anri idea head test water photo throw moves 000100 ',ne
' funny photo 000000 ',hp
' wanted photo kiteboarders, 000000 ',ne
' =/ guy air 000000 ',ne
' walk sit people ph oto them, action photo 000000 ',ne
' love 000400 ',hp
' lost 000000 ',ne
' anri house cake coffee 000000 ',ne
' cake ^.^ ice-cream 000000 ',hp
' dark chocolate 000010 ',hp
' wanted movies wanted church anri know 000000 ',ne
' sat hour 000000 ',ne
' 000000 ',ne
' hm 000000 ',ne
' sad sit wonder hand god hand movie 000062 ',sd
' (non-christians, worry part thoughts, person, kinda thinking loud people lieve me.) 000100 ',ne
' nice 000000 ',hp
' movies 000000 ',ne
' think it, hey 000000 ',sp
' sat drawing uhm phone rang police 000000 ',ne
' tired 100000 ',ne
' serious question read 000000 ',ne
' no, stupid chick wondering 000003 ',dg
' obvious me. knew gonna die, li ke sooner later, reason 000000 ',ne
' friend gonna die, sooner later, angry choices years cut virtually 100000 ',ag
' tried step minute look ma viewing 000000 ',ne
' athelete 000000 ',ne
' wonderful friends love cherish 000403 ',hp
' virtually 000000 ',ne
' start turn unexpected direction 102000 ',sp
' think constant arguing, lies deception, money mismanagement, 000000 ',ag
' decide join military 000000 ',ne
' world 000000 ',ne
' goes interview 000000 ',ne
' leave sense purpose vow full experienc 000000 ',ne
' office look sadness 000070 ',sd
' think traffic tickets, th ere presented join military 000000 ',ne
' hear bad news plan move 000110 ',sd
' speak planning, "i sorry tell this(ok, move back home back school work degree 000160 ',sd
' ), able welcome forces(or trav eling explore country 000000 ',ne
' 000000 ',ne
' story me, heard pissed 100000 ',dg
' see, knew 000000 ',ne
' lol) 000000 ',hp
' imagine surprise engage lor coming know 000002 ',sp
' tells gonna test gonorrhea, gonna test hiv 000000 ',ne
' like, "for what? 000200 ',sp
' answer 000000 ',ne
' really, think 000000 ',sp
' man, regard me, life bullshit lies 000100 ',dg
' fortunately, test results back negative gonorrhea hiv 000000 ',hp
' course thankful, realized 000000 ',hp
' realized life me. fuck bullshit 000000 ',dg
' reason pissed friend dying fro disease entire friends, knowledge appropriate care person hi 200000 ',ag
' took multi-vitamin 000000 ',ne
' friends athelete, pretty fit part 100000 ',ne
' thought th 000000 ',ne
' wonder changed mind 000002 ',sp
' asked this, answer 000000 ',ne
' think alot, wonder exactly decide 000002 ',sp
' wonder choices nurse diffe rent results 000002 ',ne
' live, 000000 ',ne
' however, so, leave thoughts comments 000000 ',ne
' birthday monday 000000 ',ne
' trashed 000000 ',ag
' tho work monday bday cause shop sucks 000000 ',dg
' bday 000000 ',hp
' seriously dont know 000000 ',ne
' sucks known years 000000 ',dg
' alfkjaslkjfasjflka;sjdf;asjfals;fjlakjsf 000000 ',ne
' myrtle beach 000000 ',sd
' cried home myrtle 000000 ',sd
' reasons 000000 ',ne
' &lt;/3 000000 ',sd
' myrtle&lt;/ 000000 ',ne
' bad 000010 ',ne
' annoyed 300000 ',ag
' b/c dont money move right 000100 ',ne
' information 000000 ',ne
' wont bad 000010 ',ne
' move 000100 ',ne
' wanted moving 29857938475 miles b/c freaking 000000 ',fr
' ////the look me/// 000000 ',ne
' 000000 ',ne
' well, well, 000000 ',ne
' hahaha 000000 ',hp
' well, surprised 000003 ',sp
' 000000 ',ne
' hahaha 000000 ',hp
' so, drop tell 000000 ',ne
' missed cool people met 000000 ',sd
' religious ritual (like baptism) ritual (like hands), personal ritua 000200 ',ne
' develop rituals life 000000 ',ne
' granted, global, world-issues big picture, big picture 000000 ',ne
' bag american 000000 ',ne
' 40 years purpose 000000 ',ne
' start 000000 ',ne
' surprising ritual easier establish rituals location, home 000001 ',sp
' [it sense concern straight place ther live 000200 ',ne
' 000000 ',ne
' 000000 ',ne
' all-structure, all-the-time 000000 ',ne
' know life ritual 000000 ',fr
' rituals 000000 ',ne
' alas, (yet) 000000 ',sd
' * home work, put 000000 ',ne
' started thinking enjoy, definitely 000600 ',hp
' * saturday, 000000 ',ne
' 000000 ',ne
' * ritual absolutely adore outdoor hollywood forever cemetery summer 000000 ',hp
' * working, known weekends: ust currently enjoying 000600 ',hp
' ends, able start garden 000000 ',ne
' telling 000000 ',ne
' 000000 ',sd
' mind 000000 ',ne
' * happy taste ice cream (i love try flavors!), wh ordering, chip 0001000 ',hp
' 000000 ',ne
' * fear keeps bed tired 105000 ',fr
' totally mental 000000 ',ne
' think rituals lives 000000 ',ne
' "the image cartoonist cartoonist sitting tables selling books ruly 000000 ',sd
' ego-crushing buy 000200 ',sd
' - beaty, pleasure meeting show, spx learn european convention 000001 ',hp
' enjoyed spx, rare men women bro ught 000600 ',hp
' it, perception: traveled hour trip saturday american chris (he status agreeing drive), arrived half-hour doors opened, stayed 5:30, right back home 000000 ',ne
' spx, words, full shopping 000000 ',ne
' 000000 ',ne
' met awful lot fine creators, table time; heaven knows afternoon people waiting betwee tables, distractions attend 002001 ',dg
' signs direct whatnot, hard find ask direction 102000 ',ne
' upstairs totes, tables attent ion, folks operating hand stray 000000 ',ne
' building highway, metal vehicles aro 000000 ',ne
' hotel, road 000000 ',ne
' passed parking lot furniture sale, haunted ponies back, decided turn passed 000000 ',ne
' back gray highway center comics people, clo se haunted ponies bought ghost ndependent comics 000000 ',ne
' love walking buy, traveling hours comics spread dreams personal hackles, tell 100400 ',hp
' glad chris me, knew lot faces t; fine guide, occasionally version rabbit?, unsure bob 002500 ',hp
